gene_symbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DE
POLK,0.112701722,-0.064577044,0.089,0.104,1,notDE
AP2A1,0.112774171,-0.080425001,0.128,0.146,1,notDE
HIC1,0.112895854,-0.028334895,0.006,0.012,1,notDE
MTR,0.112970515,0.061344805,0.13,0.114,1,notDE
PSMC3IP,0.113095362,-0.034883492,0.011,0.018,1,notDE
LTB4R,0.113181359,0.012990667,0.009,0.005,1,notDE
ARID4A,0.113191307,-0.117974946,0.198,0.217,1,notDE
SULT1A3,0.113208374,0.012435772,0.009,0.005,1,notDE
TOMM40L,0.113366847,-0.039801649,0.023,0.032,1,notDE
KDELR1,0.11344309,0.046782479,0.414,0.399,1,notDE
AL441992.1,0.113514575,0.048326013,0.028,0.021,1,notDE
IQCK,0.113515117,0.03279325,0.022,0.016,1,notDE
ZNF668,0.113536043,-0.041154423,0.032,0.043,1,notDE
FBXW11,0.113597991,-0.057218506,0.133,0.152,1,notDE
ABHD15,0.113665148,-0.029315579,0.019,0.027,1,notDE
N6AMT1,0.113682361,0.023298075,0.031,0.023,1,notDE
UBE2J1,0.113749359,-0.061080795,0.158,0.179,1,notDE
POLR3A,0.113792319,-0.050721229,0.047,0.059,1,notDE
CRELD2,0.113915778,-0.048345971,0.09,0.106,1,notDE
WASHC1,0.113957309,0.040236621,0.281,0.262,1,notDE
TMEM154,0.114281166,0.034730382,0.047,0.038,1,notDE
C2CD3,0.114316757,-0.041351398,0.057,0.07,1,notDE
SIGIRR,0.114379612,0.052353988,0.239,0.219,1,notDE
EIF2B5,0.114848539,-0.062104982,0.11,0.127,1,notDE
UBE2W,0.114967097,-0.036890551,0.021,0.03,1,notDE
SMYD3,0.115185905,0.028121038,0.054,0.043,1,notDE
CD69,0.115187514,-0.135642624,0.477,0.444,1,notDE
GANAB,0.115334869,0.04265972,0.152,0.136,1,notDE
H2AFY,0.11534304,-0.066441868,0.188,0.211,1,notDE
MRPS14,0.115640638,-0.04842534,0.116,0.135,1,notDE
AL513550.1,0.115702353,-0.019705731,0.004,0.008,1,notDE
DUSP28,0.115730891,-0.055991556,0.044,0.055,1,notDE
CCNT2,0.115733438,-0.081195394,0.1,0.116,1,notDE
GGA3,0.115761333,-0.047576762,0.078,0.093,1,notDE
AC109779.1,0.115854049,-0.009506313,0,0.002,1,notDE
SCML2,0.115854049,-0.010077511,0,0.002,1,notDE
PDCD1LG2,0.115854049,-0.008062058,0,0.002,1,notDE
AC138466.1,0.115854049,-0.010340083,0,0.002,1,notDE
CMTM4,0.115854049,-0.01016902,0,0.002,1,notDE
HOXB6,0.115854049,-0.008672116,0,0.002,1,notDE
HCN2,0.115854049,-0.010318599,0,0.002,1,notDE
BRWD1-AS2,0.115854049,-0.00946583,0,0.002,1,notDE
ZNF529,0.115897808,-0.048741885,0.044,0.055,1,notDE
LTBP3,0.115939254,-0.045093665,0.064,0.078,1,notDE
AL353708.3,0.115950654,-0.026972426,0.005,0.009,1,notDE
API5,0.116017265,-0.06780913,0.179,0.201,1,notDE
HELLS,0.116166666,0.039168056,0.032,0.025,1,notDE
TIA1,0.116231507,0.048093659,0.173,0.155,1,notDE
LIPE-AS1,0.116325628,-0.015967307,0.004,0.008,1,notDE
ADCK5,0.116383315,0.045362783,0.041,0.032,1,notDE
UGCG,0.116390426,-0.050345113,0.079,0.094,1,notDE
CTNNAL1,0.116394649,-0.084946023,0.137,0.155,1,notDE
COPZ1,0.116502219,0.02791898,0.368,0.347,1,notDE
ZDHHC16,0.116546105,-0.056279421,0.104,0.121,1,notDE
NUF2,0.1165722,0.016516017,0.01,0.006,1,notDE
CPPED1,0.116594044,-0.034502387,0.032,0.042,1,notDE
CPSF1,0.116617453,-0.041704638,0.06,0.074,1,notDE
TBC1D8,0.116641627,0.014510153,0.01,0.006,1,notDE
SMARCA4,0.116642989,-0.085647486,0.191,0.214,1,notDE
PIEZO1,0.116651844,-0.062472085,0.054,0.066,1,notDE
COQ10B,0.116660522,-0.073150514,0.227,0.252,1,notDE
HLA-DOA,0.116670921,0.021343262,0.015,0.01,1,notDE
AC103702.2,0.116675554,0.049049358,0.046,0.037,1,notDE
SNX27,0.116742402,0.028768231,0.088,0.075,1,notDE
OXA1L,0.116818615,0.049005178,0.349,0.332,1,notDE
FANCC,0.116886185,0.028323383,0.015,0.01,1,notDE
CRTC1,0.117001711,-0.043108078,0.028,0.037,1,notDE
MTIF3,0.117031933,0.02590699,0.185,0.166,1,notDE
RGL4,0.117077431,0.03242387,0.049,0.039,1,notDE
TMEM53,0.117098894,0.021977869,0.025,0.018,1,notDE
HAUS8,0.117175387,-0.035249505,0.034,0.045,1,notDE
CHST10,0.117277854,-0.02086225,0.007,0.013,1,notDE
SYMPK,0.117288063,-0.065260487,0.094,0.11,1,notDE
CLIP2,0.117307287,-0.019924921,0.006,0.011,1,notDE
RNF227,0.117323232,-0.017738051,0.005,0.009,1,notDE
KLHDC8B,0.117407469,0.011520929,0.01,0.006,1,notDE
ARFRP1,0.117489688,0.059884581,0.173,0.156,1,notDE
RAB18,0.117499238,-0.060222096,0.226,0.252,1,notDE
CR381653.1,0.117573852,0.009926031,0.017,0.011,1,notDE
TYK2,0.117624174,-0.066103042,0.077,0.091,1,notDE
RAB13,0.117771454,-0.015138256,0.001,0.004,1,notDE
MRPL3,0.11784882,-0.076784371,0.185,0.206,1,notDE
STAT6,0.117949103,0.057986579,0.211,0.194,1,notDE
ADK,0.117999942,-0.095073613,0.256,0.277,1,notDE
SLC35A2,0.118000379,-0.05575269,0.06,0.073,1,notDE
AC010624.3,0.118166877,-0.015790247,0.002,0.005,1,notDE
INPP4A,0.118345379,0.046984438,0.073,0.061,1,notDE
ERICD,0.118381126,-0.010128417,0.001,0.004,1,notDE
JAG2,0.118381126,-0.012183964,0.001,0.004,1,notDE
GSTM3,0.118409495,-0.038753937,0.032,0.043,1,notDE
FGD3,0.118421714,0.021397705,0.229,0.206,1,notDE
AC008763.1,0.118522171,-0.010681655,0.001,0.004,1,notDE
CAMTA1,0.118683646,-0.050563942,0.246,0.271,1,notDE
AC016065.1,0.118716175,-0.034080075,0.016,0.023,1,notDE
NPIPB15,0.11872662,-0.016184948,0.002,0.005,1,notDE
AGAP1,0.118737421,0.012714272,0.006,0.003,1,notDE
POR,0.118790951,-0.068958139,0.109,0.126,1,notDE
ARL17B,0.11886688,-0.013802767,0.002,0.005,1,notDE
FEZ1,0.11899607,-0.056545217,0.024,0.033,1,notDE
NKAPD1,0.119006132,-0.068208215,0.148,0.167,1,notDE
FBXW5,0.119074625,0.041676175,0.255,0.235,1,notDE
VPS16,0.119113891,0.044039219,0.101,0.088,1,notDE
MAPKAP1,0.119191915,0.03182234,0.082,0.069,1,notDE
AC106739.1,0.119228145,-0.012542458,0.002,0.005,1,notDE
AHDC1,0.119251861,-0.041094442,0.027,0.036,1,notDE
SV2C,0.119342448,0.010005641,0.003,0.001,1,notDE
LRRC20,0.11939001,0.007181129,0.006,0.003,1,notDE
ATP6V0A2,0.119405299,-0.054781976,0.086,0.101,1,notDE
RUSC1-AS1,0.119465216,0.009583855,0.003,0.001,1,notDE
PLXNC1,0.119497396,0.012259063,0.011,0.007,1,notDE
CYB561D1,0.119576847,0.029904938,0.05,0.04,1,notDE
ZNF740,0.11960081,-0.039046672,0.035,0.046,1,notDE
RIBC1,0.119629059,0.006552333,0.003,0.001,1,notDE
LYRM1,0.119634697,-0.040484282,0.086,0.102,1,notDE
TCFL5,0.119664956,-0.012125023,0.003,0.007,1,notDE
AL133342.1,0.119670048,0.007178753,0.003,0.001,1,notDE
GLMP,0.119716651,0.052130975,0.053,0.043,1,notDE
CENPI,0.119752058,0.006138378,0.003,0.001,1,notDE
ZNF200,0.119810138,-0.036638273,0.045,0.056,1,notDE
CCND1,0.119811013,0.001269424,0.006,0.003,1,notDE
C9orf3,0.119811695,-0.033100935,0.011,0.018,1,notDE
AC036108.2,0.119834112,0.005830853,0.003,0.001,1,notDE
ITFG1,0.11984314,0.034261751,0.123,0.108,1,notDE
AC010680.2,0.119998352,0.003783121,0.003,0.001,1,notDE
CCDC107,0.120050887,-0.087992747,0.22,0.239,1,notDE
CNNM2,0.120078223,-0.028563572,0.016,0.023,1,notDE
KYNU,0.120121648,0.001927031,0.003,0.001,1,notDE
EIF4A2,0.12015326,-0.043746034,0.66,0.632,1,notDE
TAF1C,0.120212355,-0.031598026,0.033,0.044,1,notDE
ZNF268,0.120221322,-0.02384814,0.018,0.025,1,notDE
GNPNAT1,0.12024682,-0.033828654,0.029,0.038,1,notDE
BAD,0.120298554,-0.082784402,0.191,0.211,1,notDE
PPP5D1,0.120391244,0.014590807,0.005,0.002,1,notDE
GNA12,0.120391736,-0.044843499,0.026,0.035,1,notDE
AC009133.3,0.120449538,0.011566696,0.005,0.002,1,notDE
AC004556.1,0.120506769,0.015778304,0.013,0.008,1,notDE
LRRC29,0.120679213,0.022422958,0.008,0.005,1,notDE
EFL1,0.120690824,-0.068473139,0.06,0.073,1,notDE
GALE,0.120718224,-0.037195512,0.027,0.036,1,notDE
ASAH2,0.12074134,0.011072104,0.005,0.002,1,notDE
ROMO1,0.120751462,-0.068257665,0.34,0.369,1,notDE
DUSP7,0.120756578,-0.022400797,0.01,0.016,1,notDE
TNK2-AS1,0.120840106,0.011514191,0.008,0.005,1,notDE
SMAP1,0.120853087,-0.092244818,0.274,0.294,1,notDE
ACACA,0.120978132,-0.035140274,0.051,0.063,1,notDE
ZBTB24,0.120979599,-0.051385694,0.059,0.072,1,notDE
PSMC3,0.120995897,-0.055754435,0.356,0.385,1,notDE
STAMBP,0.121000565,0.077282011,0.153,0.139,1,notDE
ZNF502,0.121033695,0.009111389,0.005,0.002,1,notDE
SART3,0.121038753,-0.093280479,0.131,0.147,1,notDE
ACADSB,0.121140534,0.01466714,0.041,0.032,1,notDE
MOSPD2,0.12121529,-0.021993329,0.034,0.045,1,notDE
ZYX,0.121227953,-0.069411348,0.476,0.499,1,notDE
ITGA3,0.121229469,-0.033010421,0.016,0.023,1,notDE
LINC00987,0.121231053,0.011251946,0.012,0.008,1,notDE
AC020928.2,0.121258849,0.013192662,0.006,0.003,1,notDE
C12orf75,0.121341755,0.009224237,0.379,0.348,1,notDE
LYAR,0.121444508,-9.16E-04,0.447,0.415,1,notDE
AC015819.2,0.121473266,0.008037092,0.005,0.002,1,notDE
ZNF28,0.121488357,-0.030924844,0.016,0.023,1,notDE
AC245297.2,0.121590696,0.006121173,0.005,0.002,1,notDE
AP003486.1,0.121590696,0.007508844,0.005,0.002,1,notDE
ZFP37,0.121626863,0.008448361,0.008,0.005,1,notDE
ELOA-AS1,0.121741194,-0.020704461,0.011,0.018,1,notDE
VTI1A,0.121766286,-0.035897081,0.107,0.125,1,notDE
SPOUT1,0.121945495,-0.055464933,0.104,0.12,1,notDE
NOL4L,0.121985069,-0.033585649,0.011,0.017,1,notDE
ZNF674-AS1,0.122111993,-0.02740407,0.011,0.018,1,notDE
ASB13,0.122119925,0.01040904,0.006,0.003,1,notDE
NCKAP1,0.122198441,0.008748512,0.006,0.003,1,notDE
SLC25A35,0.122309764,-0.021452898,0.006,0.011,1,notDE
BCAP29,0.12252445,-0.050095124,0.121,0.14,1,notDE
PWWP2A,0.122643348,-0.06758642,0.074,0.088,1,notDE
CFL2,0.122657827,0.032239973,0.033,0.025,1,notDE
ATP5PO,0.122675945,-0.047574231,0.08,0.095,1,notDE
MT1F,0.122802025,0.018932144,0.097,0.084,1,notDE
PICALM,0.123044834,-0.072726895,0.121,0.138,1,notDE
AC131971.1,0.123112557,-0.021245207,0.007,0.013,1,notDE
TMSB15B,0.123276464,-0.01951416,0.004,0.008,1,notDE
FAM200B,0.123639303,0.051049258,0.09,0.077,1,notDE
PAPSS1,0.123915938,0.036350638,0.096,0.083,1,notDE
CDK5,0.123931863,0.033448556,0.06,0.05,1,notDE
KNTC1,0.123964159,-0.027954867,0.012,0.019,1,notDE
EEF1AKMT1,0.124037161,0.033857768,0.033,0.026,1,notDE
MED12L,0.124492054,-0.009258705,0,0.002,1,notDE
TTK,0.124492054,-0.008030239,0,0.002,1,notDE
DBH-AS1,0.124492054,-0.010621225,0,0.002,1,notDE
USP2-AS1,0.124492054,-0.007989234,0,0.002,1,notDE
NDUFA4L2,0.124492054,-0.007647356,0,0.002,1,notDE
TDRD9,0.124492054,-0.008479532,0,0.002,1,notDE
HOMER2,0.124492054,-0.008972173,0,0.002,1,notDE
AC027682.3,0.124492054,-0.008405172,0,0.002,1,notDE
SNHG25,0.124492054,-0.008186505,0,0.002,1,notDE
LINC01970,0.124492054,-0.008378166,0,0.002,1,notDE
AC132872.1,0.124492054,-0.011545884,0,0.002,1,notDE
WFDC3,0.124492054,-0.009398462,0,0.002,1,notDE
ADGRE2,0.124492054,-0.008197024,0,0.002,1,notDE
ATF6B,0.124510602,0.042113361,0.283,0.263,1,notDE
DUSP23,0.124976842,-0.053092849,0.112,0.129,1,notDE
SGPL1,0.125038173,-0.051224729,0.065,0.079,1,notDE
BCKDHA,0.125083024,0.053765879,0.07,0.059,1,notDE
SUN2,0.125136251,-0.102804922,0.243,0.263,1,notDE
C6orf47,0.12515364,-0.060746649,0.122,0.141,1,notDE
FRG1,0.125398056,-0.0567345,0.213,0.239,1,notDE
DSTYK,0.125431168,0.029608302,0.056,0.045,1,notDE
TRAPPC4,0.125559179,-0.072523027,0.265,0.289,1,notDE
AP002360.1,0.125560704,0.013289994,0.024,0.017,1,notDE
SDR39U1,0.125641519,0.055850655,0.182,0.165,1,notDE
CD2AP,0.125661705,0.046317421,0.114,0.1,1,notDE
ZNF582-AS1,0.125887748,0.017601744,0.009,0.006,1,notDE
EBLN2,0.125935769,-0.01881408,0.003,0.007,1,notDE
FZD6,0.125961162,-0.01301138,0.002,0.005,1,notDE
OTUD7B,0.125972393,-0.037476505,0.05,0.062,1,notDE
POLR2C,0.125972709,-0.079057417,0.252,0.276,1,notDE
AMZ1,0.12600351,-0.015427496,0.002,0.005,1,notDE
NAT14,0.126064354,-0.02466841,0.006,0.012,1,notDE
PDIA4,0.126134108,0.041179865,0.185,0.167,1,notDE
HID1,0.126143636,-0.013873948,0.001,0.004,1,notDE
ACVR1B,0.126156777,-0.023541362,0.009,0.015,1,notDE
PDCD2,0.126267789,-0.069106706,0.312,0.338,1,notDE
PDE4B,0.126283567,-0.003846752,0.319,0.29,1,notDE
HDAC4,0.126343726,0.059645829,0.06,0.05,1,notDE
AC008555.5,0.126357391,0.054264823,0.045,0.036,1,notDE
PAIP2B,0.126364002,0.01524548,0.017,0.011,1,notDE
SLC11A1,0.126494208,-0.010774512,0.001,0.004,1,notDE
PLEKHH2,0.126569429,-0.010498518,0.001,0.004,1,notDE
OGFRP1,0.12670386,-0.012020788,0.002,0.005,1,notDE
CTSK,0.12672513,-0.011336829,0.002,0.005,1,notDE
TMEM19,0.126797595,0.025540441,0.064,0.053,1,notDE
IGF1R,0.126845538,-0.003404468,0.001,0.004,1,notDE
TAB2,0.126860593,-0.078429496,0.205,0.225,1,notDE
REEP3,0.1269156,-0.045101348,0.081,0.095,1,notDE
MAGOHB,0.127030531,0.061176837,0.147,0.132,1,notDE
CXorf40A,0.127094866,-0.046254824,0.045,0.057,1,notDE
TSPAN2,0.127305201,-0.068626815,0.076,0.09,1,notDE
TMPRSS3,0.127335904,-0.010938682,0.003,0.007,1,notDE
MTERF3,0.127438364,-0.04363862,0.051,0.063,1,notDE
ING4,0.127504825,-0.063465883,0.147,0.165,1,notDE
PRR14L,0.127569492,0.041123531,0.085,0.073,1,notDE
ATP7A,0.127762767,-0.048712151,0.033,0.043,1,notDE
MPC2,0.128009531,-0.06203783,0.276,0.304,1,notDE
PRDM1,0.128056014,-0.06177343,0.142,0.161,1,notDE
GM2A,0.128059053,0.027874331,0.019,0.014,1,notDE
SLC35F6,0.12807116,-0.042295591,0.041,0.052,1,notDE
FAM173B,0.128115223,0.029601103,0.021,0.015,1,notDE
S100A10,0.128137249,-0.302181028,0.888,0.876,1,notDE
WASHC2C,0.128199273,0.042498062,0.111,0.097,1,notDE
KLHL9,0.128224901,0.053610785,0.09,0.078,1,notDE
SNX5,0.128229464,-0.062868672,0.16,0.18,1,notDE
ACBD5,0.128254947,-0.047199871,0.063,0.077,1,notDE
SMARCC2,0.128447561,-0.101559505,0.249,0.271,1,notDE
PPP2R3C,0.128631597,-0.062409684,0.16,0.178,1,notDE
PBX2,0.128713931,-0.049819147,0.039,0.049,1,notDE
SF3B5,0.128733849,-0.089014455,0.481,0.497,1,notDE
MTA3,0.1287982,0.013746359,0.023,0.017,1,notDE
PSMB5,0.128819939,-0.064847676,0.175,0.197,1,notDE
LSM6,0.128828999,0.062696765,0.311,0.294,1,notDE
ETAA1,0.128897408,0.029040642,0.031,0.023,1,notDE
SLC25A30,0.128904676,-0.038978328,0.017,0.024,1,notDE
TMEM14A,0.128944146,0.042296799,0.087,0.075,1,notDE
SMYD5,0.128959993,-0.031373865,0.033,0.043,1,notDE
UCK1,0.129289416,-0.057753437,0.06,0.073,1,notDE
PHKB,0.1293161,0.043945136,0.076,0.064,1,notDE
BAG3,0.129327308,-0.112875626,0.054,0.066,1,notDE
SLC25A36,0.129331543,-0.068325019,0.11,0.127,1,notDE
RUFY1,0.129437617,-0.047857299,0.067,0.08,1,notDE
ZFYVE26,0.129475931,0.043746646,0.049,0.04,1,notDE
C15orf48,0.129592897,0.007414546,0.007,0.004,1,notDE
AC009404.1,0.129615202,-0.018080298,0.004,0.008,1,notDE
PIBF1,0.129653705,-0.041656028,0.084,0.1,1,notDE
HIST3H2A,0.129753985,-0.025450299,0.046,0.058,1,notDE
KRBOX4,0.129764576,0.044765052,0.058,0.047,1,notDE
PMPCA,0.129822968,-0.054695708,0.12,0.138,1,notDE
DUT,0.129854591,-0.065987212,0.247,0.272,1,notDE
TRBV5-1,0.129899145,0.24025088,0.042,0.033,1,notDE
REEP5,0.129955253,0.02383434,0.568,0.534,1,notDE
AC006213.2,0.130200902,0.017641701,0.012,0.008,1,notDE
GSK3B,0.13030808,-0.035497041,0.106,0.124,1,notDE
KIAA0232,0.130310328,-0.051334497,0.086,0.102,1,notDE
CISH,0.130519121,0.08297996,0.109,0.095,1,notDE
PECR,0.130578027,0.012473574,0.023,0.017,1,notDE
AD000671.2,0.130631743,-0.021082172,0.006,0.012,1,notDE
EPB41L5,0.131010209,0.034866255,0.034,0.027,1,notDE
SERINC3,0.131214396,-0.069029241,0.261,0.281,1,notDE
NHSL2,0.131215916,0.012986126,0.011,0.007,1,notDE
MBIP,0.131234139,-0.03909345,0.073,0.087,1,notDE
FAM91A1,0.131237726,-0.042820442,0.058,0.07,1,notDE
ENTPD4,0.13124918,-0.054755353,0.083,0.097,1,notDE
IFT27,0.131260614,-0.042268231,0.086,0.102,1,notDE
ZNF675,0.13126405,-0.053698677,0.05,0.062,1,notDE
KCTD11,0.131307027,-0.009450425,0.016,0.023,1,notDE
HSPA4,0.131380908,-0.112474013,0.26,0.282,1,notDE
OTUD6B-AS1,0.131416981,-0.079749825,0.143,0.16,1,notDE
CS,0.131497255,-0.045660703,0.162,0.184,1,notDE
BCLAF1,0.131605705,-0.111863842,0.356,0.381,1,notDE
AC093010.2,0.131699078,0.044406501,0.039,0.03,1,notDE
KNSTRN,0.131791392,-0.026408072,0.019,0.026,1,notDE
DVL1,0.131887796,-0.051775398,0.022,0.03,1,notDE
POLR2J,0.131949331,0.055656972,0.255,0.238,1,notDE
MGRN1,0.131983258,-0.077105817,0.107,0.122,1,notDE
TLNRD1,0.132275024,-0.035235465,0.046,0.058,1,notDE
MYPOP,0.132534588,-0.035818825,0.033,0.043,1,notDE
RAB14,0.1325406,-0.056827045,0.282,0.308,1,notDE
MED28,0.132612585,0.042401551,0.239,0.222,1,notDE
FIG4,0.132828568,0.05498149,0.043,0.034,1,notDE
NUBP1,0.13295378,-0.01606359,0.105,0.123,1,notDE
SFT2D3,0.132975451,0.030997252,0.018,0.012,1,notDE
RHOBTB2,0.133070755,-0.017475584,0.003,0.007,1,notDE
AC009053.2,0.133070755,-0.017201011,0.003,0.007,1,notDE
FAM168B,0.13318401,-0.049844681,0.059,0.072,1,notDE
ZNF420,0.133187038,-0.040654851,0.047,0.059,1,notDE
KIF13B,0.133201383,-0.048184751,0.084,0.099,1,notDE
APBB1,0.133235675,-0.056390639,0.097,0.113,1,notDE
Sep 08,0.133327558,-0.015123512,0.009,0.015,1,notDE
RPS6KA5,0.133328648,0.057845786,0.115,0.101,1,notDE
KLHL42,0.133547279,-0.037327764,0.027,0.036,1,notDE
RPN2,0.13361023,0.04238416,0.462,0.439,1,notDE
U2AF1,0.133626347,-0.016334288,0.003,0.007,1,notDE
ILK,0.133629404,-0.089216881,0.326,0.346,1,notDE
ADNP-AS1,0.133849407,-0.008077097,0,0.002,1,notDE
FNBP1L,0.133849407,-0.008417503,0,0.002,1,notDE
DTL,0.133849407,-0.009122584,0,0.002,1,notDE
GREB1,0.133849407,-0.008901019,0,0.002,1,notDE
EVA1A,0.133849407,-0.007679362,0,0.002,1,notDE
KIF15,0.133849407,-0.008570834,0,0.002,1,notDE
ZSCAN31,0.133849407,-0.006848905,0,0.002,1,notDE
AEBP1,0.133849407,-0.007300749,0,0.002,1,notDE
CALD1,0.133849407,-0.007888262,0,0.002,1,notDE
TRBV12-1,0.133849407,-0.010918891,0,0.002,1,notDE
MYOM2,0.133849407,-0.00762769,0,0.002,1,notDE
TMOD1,0.133849407,-0.007633814,0,0.002,1,notDE
KLF4,0.133849407,-0.014108573,0,0.002,1,notDE
MCAM,0.133849407,-0.009813842,0,0.002,1,notDE
LINC02156,0.133849407,-0.007163398,0,0.002,1,notDE
AC020656.2,0.133849407,-0.007282318,0,0.002,1,notDE
RNF219-AS1,0.133849407,-0.007454361,0,0.002,1,notDE
TJP1,0.133849407,-0.009138093,0,0.002,1,notDE
SOGA1,0.133849407,-0.007612975,0,0.002,1,notDE
Z83847.1,0.133849407,-0.007380757,0,0.002,1,notDE
AC025040.1,0.133849407,-0.006163776,0,0.002,1,notDE
HDC,0.133849407,-0.006921532,0,0.002,1,notDE
CNOT6L,0.133851649,0.052187825,0.309,0.292,1,notDE
MORN3,0.133934427,0.024029647,0.029,0.022,1,notDE
FTO,0.133961138,-0.031265846,0.046,0.058,1,notDE
ATF5,0.133993806,-0.051765206,0.045,0.056,1,notDE
TRAPPC2,0.134021923,-0.053428766,0.057,0.068,1,notDE
RBM25,0.134044919,-0.101080333,0.45,0.474,1,notDE
SSR3,0.134054786,-0.082007065,0.36,0.386,1,notDE
GABPB2,0.134069212,0.026268496,0.044,0.035,1,notDE
AC135279.3,0.134093606,-0.015167489,0.002,0.005,1,notDE
GABARAPL2,0.134141109,0.043696083,0.572,0.554,1,notDE
ALDH18A1,0.134239493,-0.038222934,0.067,0.08,1,notDE
FAIM,0.134278562,0.03750551,0.036,0.028,1,notDE
CCDC28B,0.134312882,-0.031304355,0.019,0.027,1,notDE
AC144831.1,0.134318117,-0.014228579,0.002,0.005,1,notDE
EIF2B1,0.134489626,-0.049769788,0.105,0.121,1,notDE
C10orf95,0.134497935,-0.010150234,0.002,0.005,1,notDE
CNTROB,0.134762483,-0.033334832,0.029,0.038,1,notDE
RND1,0.134848656,-0.020354967,0.001,0.004,1,notDE
ABCB7,0.134909274,0.040968262,0.1,0.086,1,notDE
E2F7,0.134923032,-0.012953009,0.003,0.007,1,notDE
LCOR,0.135064135,-0.084382378,0.101,0.116,1,notDE
THEM6,0.135115518,0.022085153,0.032,0.024,1,notDE
DBNDD2,0.135198143,-0.027682284,0.011,0.017,1,notDE
GALNS,0.135231964,-0.032126436,0.044,0.055,1,notDE
NRAV,0.135233664,-0.018444463,0.006,0.01,1,notDE
GGPS1,0.135514109,0.01839857,0.021,0.015,1,notDE
PPFIBP1,0.135528912,0.022686997,0.015,0.01,1,notDE
AQP11,0.135544119,-0.008623104,0.001,0.004,1,notDE
ZFP36L2,0.13559887,-0.161264145,0.706,0.698,1,notDE
HOOK3,0.135599196,-0.040364241,0.147,0.168,1,notDE
C2orf68,0.135653573,0.042898251,0.081,0.069,1,notDE
GCDH,0.135734197,-0.038787318,0.103,0.12,1,notDE
PSD4,0.135734786,-0.050445333,0.083,0.098,1,notDE
ATXN7L3,0.135749418,-0.060029976,0.067,0.079,1,notDE
TOM1L2,0.135754337,-0.042397603,0.04,0.05,1,notDE
ATG7,0.135790559,-0.044522586,0.04,0.05,1,notDE
ZNF613,0.135925493,0.038731265,0.026,0.019,1,notDE
WIPI2,0.1359412,-0.08442322,0.237,0.256,1,notDE
SSFA2,0.135957855,-0.037077302,0.049,0.061,1,notDE
MYEF2,0.136015389,0.031638474,0.024,0.018,1,notDE
ZNF548,0.136058752,-0.027941647,0.019,0.026,1,notDE
PDP2,0.136100567,-0.01107916,0.02,0.029,1,notDE
RNF122,0.136190929,0.01473469,0.006,0.004,1,notDE
SPIN2B,0.136298025,0.040999359,0.029,0.022,1,notDE
TIFA,0.136408917,-0.050131176,0.092,0.107,1,notDE
FMO5,0.136446708,0.013424611,0.006,0.004,1,notDE
ATRAID,0.136503897,0.041646243,0.336,0.316,1,notDE
NCR3,0.136511974,-0.018974398,0.005,0.009,1,notDE
DDI2,0.136513019,-0.066235199,0.126,0.143,1,notDE
NUMA1,0.136703456,-0.098899958,0.204,0.222,1,notDE
AFF1,0.136715311,0.037620186,0.151,0.135,1,notDE
TTL,0.136910001,0.021145154,0.043,0.034,1,notDE
SIDT2,0.136966646,0.025914547,0.028,0.021,1,notDE
PEX13,0.137063782,-0.033822137,0.05,0.062,1,notDE
CEMIP2,0.137216635,0.046041856,0.225,0.207,1,notDE
CETN2,0.137227863,0.033002213,0.078,0.066,1,notDE
ASAP1,0.137872994,0.055139225,0.064,0.054,1,notDE
AC087239.1,0.137879158,-0.074496045,0.02,0.028,1,notDE
TRBV29-1,0.137879392,0.206998169,0.028,0.021,1,notDE
LINC01353,0.137940836,-0.010421171,0.004,0.008,1,notDE
TOPORS,0.137951009,-0.076493629,0.119,0.134,1,notDE
CANX,0.137959021,-0.047763721,0.378,0.405,1,notDE
VAT1,0.138294059,0.033232083,0.16,0.142,1,notDE
POLM,0.138354004,-0.04635046,0.07,0.083,1,notDE
TRMT61B,0.138449485,-0.056511393,0.078,0.092,1,notDE
SPECC1L,0.138508806,0.03525325,0.043,0.034,1,notDE
BAG4,0.138683919,-0.056999755,0.069,0.082,1,notDE
MYB,0.138757923,0.022673092,0.032,0.025,1,notDE
PSMA5,0.138886755,0.039683747,0.581,0.573,1,notDE
ATP1B1,0.138890696,-0.026484857,0.036,0.046,1,notDE
CASP6,0.13889334,0.028726845,0.06,0.05,1,notDE
AC245297.3,0.139073728,0.036985886,0.077,0.065,1,notDE
TOLLIP,0.139317914,-0.071361579,0.146,0.164,1,notDE
RAD51C,0.139500206,-0.052200891,0.083,0.098,1,notDE
DIP2B,0.139685344,-0.068723444,0.063,0.075,1,notDE
TERF1,0.139746825,-0.060529097,0.16,0.18,1,notDE
UVRAG,0.139775582,-0.05775881,0.104,0.12,1,notDE
WDR54,0.139859713,0.030474445,0.181,0.163,1,notDE
SLC19A2,0.139949605,-0.026238706,0.007,0.013,1,notDE
SPAG8,0.140315473,0.011037675,0.004,0.002,1,notDE
TRBV5-3,0.140614996,0.007026279,0.004,0.002,1,notDE
SMC5-AS1,0.140614996,0.008332435,0.004,0.002,1,notDE
BABAM2,0.14081503,0.059990799,0.051,0.042,1,notDE
C15orf39,0.140902766,-0.050232776,0.045,0.056,1,notDE
HDAC11,0.140942649,0.019836741,0.019,0.014,1,notDE
DDX50,0.141056001,-0.075562033,0.163,0.181,1,notDE
CRLS1,0.141142915,-0.037511747,0.057,0.069,1,notDE
